date,open,high,low,close,volume
2024-09-25 06:30:00+00:00,34.71,36.46,34.65,35.74,73587502.0
2024-09-26 06:30:00+00:00,40.2,40.51,36.71,39.65,138171824.0
2024-09-27 06:30:00+00:00,40.0,40.01,37.105,37.66,85253521.0
2024-09-30 06:30:00+00:00,36.25,37.41,35.0521,36.68,74673962.0
2024-10-01 06:30:00+00:00,36.59,36.99,32.745,33.83,124928283.0
2024-10-02 06:30:00+00:00,33.85,36.05,33.16,34.96,81729072.0
2024-10-03 06:30:00+00:00,34.07,36.61,33.98,35.21,86857198.0
2024-10-04 06:30:00+00:00,37.31,37.53,35.4501,36.68,101125442.0
2024-10-07 06:30:00+00:00,35.92,37.24,35.565,36.41,73150171.0
2024-10-08 06:30:00+00:00,36.42,37.8312,35.66,37.46,66629653.0
2024-10-09 06:30:00+00:00,37.29,38.76,36.5312,38.61,67182752.0
2024-10-10 06:30:00+00:00,37.1,38.42,36.36,37.83,79999048.0
2024-10-11 06:30:00+00:00,36.93,39.05,36.86,38.67,58434532.0
2024-10-14 06:30:00+00:00,39.44,41.06,39.35,40.82,69661768.0
2024-10-15 06:30:00+00:00,40.49,41.19,33.6398,34.47,131664163.0
2024-10-16 06:30:00+00:00,35.75,35.75,34.0,34.46,70233035.0
2024-10-17 06:30:00+00:00,37.17,37.36,35.21,35.21,97549025.0
2024-10-18 06:30:00+00:00,36.25,36.33,34.85,35.27,56704336.0
2024-10-21 06:30:00+00:00,34.84,35.38,33.73,35.09,59115789.0
2024-10-22 06:30:00+00:00,34.4,35.03,33.845,34.69,51493103.0
2024-10-23 06:30:00+00:00,34.41,34.88,32.29,33.8,81658292.0
2024-10-24 06:30:00+00:00,34.58,34.7364,33.53,34.29,60128283.0
2024-10-25 06:30:00+00:00,35.19,36.8699,35.17,35.28,82300522.0
2024-10-28 06:30:00+00:00,35.3,36.09,34.75,35.35,51661086.0
2024-10-29 06:30:00+00:00,35.46,38.445,34.9413,37.98,72288158.0
2024-10-30 06:30:00+00:00,34.97,35.695,33.911,34.01,89440103.0
2024-10-31 06:30:00+00:00,33.01,33.02,29.23,30.09,135437845.0
2024-11-01 06:30:00+00:00,30.69,31.83,30.38,30.83,80726045.0
2024-11-04 06:30:00+00:00,30.61,31.67,30.01,30.35,60422389.0
2024-11-05 06:30:00+00:00,30.36,31.49,30.25,31.38,63174860.0
2024-11-06 06:30:00+00:00,33.25,34.5,32.4,34.12,97893065.0
2024-11-07 06:30:00+00:00,35.77,36.37,35.44,36.21,77945840.0
2024-11-08 06:30:00+00:00,35.56,36.28,34.835,35.41,62666318.0
2024-11-11 06:30:00+00:00,34.35,34.41,31.48,32.77,99155706.0
2024-11-12 06:30:00+00:00,32.37,32.55,30.38,31.67,75694779.0
2024-11-13 06:30:00+00:00,30.83,31.2198,29.47,29.69,92269201.0
2024-11-14 06:30:00+00:00,30.59,30.835,29.3801,29.6,68994185.0
2024-11-15 06:30:00+00:00,28.01,28.49,26.43,26.66,113560215.0
2024-11-18 06:30:00+00:00,26.7,27.83,26.3,27.67,70735082.0
2024-11-19 06:30:00+00:00,27.37,28.0299,27.09,27.85,57030590.0
2024-11-20 06:30:00+00:00,27.335,27.56,26.0,27.13,90911692.0
2024-11-21 06:30:00+00:00,28.05,28.92,26.47,28.49,106013212.0
2024-11-22 06:30:00+00:00,28.25,28.69,27.84,28.49,52604110.0
2024-11-25 06:30:00+00:00,29.58,30.0996,28.74,29.33,70535997.0
2024-11-26 06:30:00+00:00,30.04,30.25,27.46,28.13,73204151.0
2024-11-27 06:30:00+00:00,27.68,27.75,25.582,26.98,84235679.0
2024-11-29 06:30:00+00:00,27.55,29.0402,27.5,28.06,54303368.0
2024-12-02 06:30:00+00:00,28.56,30.8,28.46,30.2,89389849.0
2024-12-03 06:30:00+00:00,29.58,30.28,29.4,29.73,59730276.0
2024-12-04 06:30:00+00:00,31.54,31.56,30.24,30.88,67498756.0
2024-12-05 06:30:00+00:00,30.75,30.8699,28.88,29.12,59282094.0
2024-12-06 06:30:00+00:00,29.2,29.8582,28.9,29.61,49152300.0
2024-12-09 06:30:00+00:00,29.07,30.32,28.61,29.23,54963034.0
2024-12-10 06:30:00+00:00,29.43,29.53,26.56,27.06,77681748.0
2024-12-11 06:30:00+00:00,28.33,29.63,27.79,29.12,77277444.0
2024-12-12 06:30:00+00:00,28.45,28.825,27.74,28.46,59937606.0
2024-12-13 06:30:00+00:00,30.37,31.31,29.485,30.7,103693876.0
2024-12-16 06:30:00+00:00,31.12,32.95,30.39,32.51,85469692.0
2024-12-17 06:30:00+00:00,31.58,32.09,30.55,31.13,64499047.0
2024-12-18 06:30:00+00:00,31.78,32.48,27.0,27.83,102912170.0
2024-12-19 06:30:00+00:00,27.97,28.0098,26.06,26.3,86520102.0
2024-12-20 06:30:00+00:00,25.82,28.37,25.59,27.3,108080179.0
2024-12-23 06:30:00+00:00,27.89,29.76,27.86,29.59,79330921.0
2024-12-24 06:30:00+00:00,30.26,30.57,29.655,30.48,39963672.0
2024-12-26 06:30:00+00:00,29.9,31.1,29.76,30.57,45348999.0
2024-12-27 06:30:00+00:00,29.98,30.18,28.59,29.69,59316266.0
2024-12-30 06:30:00+00:00,28.24,28.7761,27.32,27.94,64858952.0
2024-12-31 06:30:00+00:00,28.2,28.57,26.93,27.31,61199479.0
2025-01-02 06:30:00+00:00,28.13,29.0482,27.035,27.67,80996342.0
2025-01-03 06:30:00+00:00,28.32,30.118,28.16,29.82,72119602.0
2025-01-06 06:30:00+00:00,31.81,33.63,31.81,32.49,95159507.0
2025-01-07 06:30:00+00:00,33.57,33.73,30.6,31.15,79205733.0
2025-01-08 06:30:00+00:00,30.8,31.01,29.1754,30.18,69523496.0
2025-01-10 06:30:00+00:00,29.06,29.09,27.44,28.06,85395014.0
2025-01-13 06:30:00+00:00,26.44,27.87,26.25,27.85,68286432.0
2025-01-14 06:30:00+00:00,28.47,28.96,27.18,28.12,79759426.0
2025-01-15 06:30:00+00:00,29.65,30.46,29.3,29.94,69461329.0
2025-01-16 06:30:00+00:00,31.46,31.72,29.99,29.99,78881063.0
2025-01-17 06:30:00+00:00,32.03,32.71,31.48,32.49,69688879.0
2025-01-21 06:30:00+00:00,33.33,34.53,32.5,33.69,60897492.0
2025-01-22 06:30:00+00:00,34.69,36.15,34.41,35.15,57709383.0
2025-01-23 06:30:00+00:00,33.44,34.92,33.01,34.92,44900567.0
2025-01-24 06:30:00+00:00,34.94,34.94,32.31,32.65,60111512.0
2025-01-27 06:30:00+00:00,27.66,28.08,23.84,25.06,198431785.0
2025-01-28 06:30:00+00:00,25.44,25.8,23.75,25.37,103185306.0
2025-01-29 06:30:00+00:00,26.11,26.295,24.851,25.68,94141654.0
2025-01-30 06:30:00+00:00,26.58,27.67,26.14,27.15,87140373.0
2025-01-31 06:30:00+00:00,27.63,29.25,26.7,27.02,102622455.0
2025-02-03 06:30:00+00:00,24.8,26.49,24.31,25.61,103914273.0
2025-02-04 06:30:00+00:00,25.34,26.6,25.2,26.25,60520488.0
2025-02-05 06:30:00+00:00,26.09,27.9499,25.54,27.7,70330721.0
2025-02-06 06:30:00+00:00,27.17,27.8,26.7207,27.69,59735114.0
2025-02-07 06:30:00+00:00,27.87,28.28,25.8,26.33,87930828.0
2025-02-10 06:30:00+00:00,26.92,27.55,26.9,27.35,53330525.0
2025-02-11 06:30:00+00:00,26.68,27.9,26.68,27.4,43880483.0
2025-02-12 06:30:00+00:00,26.18,27.54,25.95,27.54,57999332.0
2025-02-13 06:30:00+00:00,27.49,28.55,27.4,28.47,61026256.0
2025-02-14 06:30:00+00:00,28.485,28.82,28.105,28.55,43089587.0
2025-02-18 06:30:00+00:00,29.2,30.23,28.71,29.99,60222218.0
2025-02-19 06:30:00+00:00,30.19,31.89,29.7601,31.47,58412708.0
2025-02-20 06:30:00+00:00,32.06,32.64,30.7,31.7,50903178.0
2025-02-21 06:30:00+00:00,31.905,31.96,28.4,28.81,61966471.0
2025-02-24 06:30:00+00:00,29.16,29.26,26.66,26.76,63724102.0
2025-02-25 06:30:00+00:00,26.655,26.92,24.82,25.07,90907486.0
2025-02-26 06:30:00+00:00,25.99,27.0,25.52,26.29,75869463.0
2025-02-27 06:30:00+00:00,26.78,26.9,21.7301,21.75,144841614.0
2025-02-28 06:30:00+00:00,21.8,23.2199,21.0201,22.73,110939359.0
2025-03-03 06:30:00+00:00,23.715,23.73,19.71,20.51,141822082.0
2025-03-04 06:30:00+00:00,20.28,22.261,19.0,20.65,154119835.0
2025-03-05 06:30:00+00:00,21.25,22.16,20.12,21.95,117702361.0
2025-03-06 06:30:00+00:00,19.71,21.02,19.01,19.23,164277616.0
2025-03-07 06:30:00+00:00,19.5,21.0899,18.75,20.88,139349188.0
2025-03-10 06:30:00+00:00,19.34,19.8,17.1,17.99,169215153.0
2025-03-11 06:30:00+00:00,18.05,18.495,16.51,17.41,161267037.0
2025-03-12 06:30:00+00:00,18.54,19.11,17.9038,18.3,137654518.0
2025-03-13 06:30:00+00:00,18.38,19.2699,17.575,18.09,117160233.0
2025-03-14 06:30:00+00:00,19.06,19.93,18.99,19.8,99718707.0
2025-03-17 06:30:00+00:00,19.51,21.28,19.5,20.79,82794205.0
2025-03-18 06:30:00+00:00,20.19,20.4,19.52,19.93,79140867.0
2025-03-19 06:30:00+00:00,19.89,21.37,19.46,20.38,83249653.0
2025-03-20 06:30:00+00:00,19.61,20.57,19.5854,19.93,80380581.0
2025-03-21 06:30:00+00:00,18.82,19.4864,18.37,19.28,84348316.0
2025-03-24 06:30:00+00:00,20.48,21.3651,20.37,21.0,91671321.0
2025-03-25 06:30:00+00:00,20.83,21.0199,20.35,20.55,57784407.0
2025-03-26 06:30:00+00:00,20.3,20.51,18.2,18.79,95647343.0
2025-03-27 06:30:00+00:00,18.165,18.4099,17.3601,17.76,103112847.0
2025-03-28 06:30:00+00:00,17.33,17.59,15.74,16.03,138232446.0
2025-03-31 06:30:00+00:00,15.07,15.9761,14.4,15.95,111345606.0
2025-04-01 06:30:00+00:00,15.725,15.99,14.825,15.95,106085048.0
2025-04-02 06:30:00+00:00,15.19,16.89,15.03,16.26,141655172.0
2025-04-03 06:30:00+00:00,13.81,14.12,11.4,11.41,302517423.0
2025-04-04 06:30:00+00:00,10.05,10.4299,8.175,8.73,499158093.0
2025-04-07 06:30:00+00:00,7.88,10.98,7.225,9.15,723467252.0
2025-04-08 06:30:00+00:00,10.41,10.84,7.6,8.25,488735466.0
2025-04-09 06:30:00+00:00,8.475,13.11,8.24,12.77,787748763.0
2025-04-10 06:30:00+00:00,10.915,11.14,8.35,9.63,686331766.0
2025-04-11 06:30:00+00:00,9.35,10.39,8.91,10.23,412972884.0
2025-04-14 06:30:00+00:00,11.145,11.16,9.97,10.47,358849474.0
2025-04-15 06:30:00+00:00,10.6,11.02,10.41,10.6,230001439.0
2025-04-16 06:30:00+00:00,9.13,9.75,8.33,9.34,362439275.0
2025-04-17 06:30:00+00:00,9.55,9.55,8.9,9.2,233659091.0
2025-04-21 06:30:00+00:00,8.67,8.74,8.15,8.71,255318101.0
2025-04-22 06:30:00+00:00,8.955,9.4,8.85,9.18,249211896.0
2025-04-23 06:30:00+00:00,10.58,10.9,10.1,10.29,368456056.0
2025-04-24 06:30:00+00:00,11.05,12.09,10.85,12.0,339636701.0
2025-04-25 06:30:00+00:00,11.63,12.59,11.51,12.34,274438478.0
2025-04-28 06:30:00+00:00,12.16,12.53,11.45,12.29,203468940.0
2025-04-29 06:30:00+00:00,11.81,12.27,11.62,11.86,184045131.0
2025-04-30 06:30:00+00:00,10.99,12.21,10.75,12.16,229393170.0
2025-05-01 06:30:00+00:00,12.535,12.8089,12.05,12.1,203349539.0
2025-05-02 06:30:00+00:00,12.89,13.685,12.89,13.29,223410585.0
2025-05-05 06:30:00+00:00,12.925,13.41,12.87,13.05,127572323.0
2025-05-06 06:30:00+00:00,12.33,12.95,12.12,12.64,158548727.0
2025-05-07 06:30:00+00:00,12.61,13.4,12.23,13.28,190946270.0
2025-05-08 06:30:00+00:00,13.835,14.34,13.38,13.66,203277011.0
2025-05-09 06:30:00+00:00,14.21,14.47,13.74,14.11,149644530.0
2025-05-12 06:30:00+00:00,16.89,17.47,16.5,17.13,263806032.0
2025-05-13 06:30:00+00:00,17.36,18.86,17.28,18.6,212931756.0
2025-05-14 06:30:00+00:00,18.97,19.3651,18.43,18.84,179343147.0
2025-05-15 06:30:00+00:00,18.315,18.91,17.82,18.47,141287601.0
2025-05-16 06:30:00+00:00,18.53,18.6,17.7612,18.39,113068594.0
2025-05-19 06:30:00+00:00,17.15,18.21,17.09,18.06,123632015.0
2025-05-20 06:30:00+00:00,17.62,18.0,17.44,17.97,84252460.0
2025-05-21 06:30:00+00:00,17.555,18.5899,16.65,17.0,149964824.0
2025-05-22 06:30:00+00:00,16.965,17.43,16.48,16.51,144981097.0
2025-05-23 06:30:00+00:00,15.21,16.0,15.1,15.73,179062559.0
2025-05-27 06:30:00+00:00,16.74,17.51,16.35,17.29,136539698.0
2025-05-28 06:30:00+00:00,17.43,17.57,16.895,17.04,126785336.0
2025-05-29 06:30:00+00:00,18.18,18.21,16.9,17.2,181707067.0
2025-05-30 06:30:00+00:00,16.9,16.9,15.24,16.17,194058663.0
2025-06-02 06:30:00+00:00,16.06,17.095,16.04,16.9,103936951.0
2025-06-03 06:30:00+00:00,16.93,18.38,16.575,18.3,158644042.0
2025-06-04 06:30:00+00:00,18.68,19.26,18.22,19.09,146325287.0
2025-06-05 06:30:00+00:00,19.49,19.99,18.42,18.81,188985577.0
2025-06-06 06:30:00+00:00,19.4,19.95,19.15,19.18,114398657.0
2025-06-09 06:30:00+00:00,19.71,21.06,19.68,20.58,162685954.0
2025-06-10 06:30:00+00:00,20.84,22.1,20.69,21.89,142811037.0
2025-06-11 06:30:00+00:00,22.36,22.595,20.99,21.64,160395008.0
2025-06-12 06:30:00+00:00,21.24,22.065,21.09,21.69,100384527.0
2025-06-13 06:30:00+00:00,20.32,21.06,19.84,20.04,166989595.0
2025-06-16 06:30:00+00:00,20.83,22.22,20.79,21.9,121972302.0
2025-06-17 06:30:00+00:00,21.61,22.53,21.34,21.42,122379506.0
2025-06-18 06:30:00+00:00,21.715,22.3799,21.23,21.61,113893759.0
2025-06-20 06:30:00+00:00,22.14,22.33,20.3701,21.21,137078938.0
2025-06-23 06:30:00+00:00,21.18,21.98,20.28,21.58,125143685.0
2025-06-24 06:30:00+00:00,22.66,24.03,22.63,23.95,137607991.0
2025-06-25 06:30:00+00:00,24.4,24.6,23.87,24.58,107621578.0
2025-06-26 06:30:00+00:00,25.18,25.355,24.59,25.2,92382200.0
2025-06-27 06:30:00+00:00,25.21,25.84,24.28,25.11,113655642.0
2025-06-30 06:30:00+00:00,25.49,25.5,24.68,25.11,78035001.0
2025-07-01 06:30:00+00:00,24.375,25.17,23.5801,24.71,107277343.0
2025-07-02 06:30:00+00:00,24.51,26.39,24.45,26.05,107157106.0
2025-07-03 06:30:00+00:00,26.4,26.72,26.23,26.43,62695849.0
2025-07-07 06:30:00+00:00,25.73,26.05,24.62,24.97,93297624.0
2025-07-08 06:30:00+00:00,25.63,27.03,25.36,26.37,90457488.0
2025-07-09 06:30:00+00:00,26.63,27.41,25.8925,26.65,86818681.0
2025-07-10 06:30:00+00:00,27.39,27.73,26.66,27.37,87602523.0
2025-07-11 06:30:00+00:00,26.85,27.54,26.55,27.29,71855387.0
2025-07-14 06:30:00+00:00,26.635,26.7712,25.3213,26.5,99670560.0
2025-07-15 06:30:00+00:00,28.05,28.46,27.205,27.29,108926203.0
2025-07-16 06:30:00+00:00,26.6,27.05,24.91,27.03,125700856.0
2025-07-17 06:30:00+00:00,26.96,27.5101,26.42,27.32,85334112.0
2025-07-18 06:30:00+00:00,27.66,27.9,26.755,27.33,68274331.0
2025-07-21 06:30:00+00:00,27.56,28.5,27.44,27.5,79860326.0
2025-07-22 06:30:00+00:00,27.12,27.28,25.34,26.32,118871562.0
2025-07-23 06:30:00+00:00,25.65,25.91,24.84,25.78,105639244.0
2025-07-24 06:30:00+00:00,25.66,25.79,24.95,25.62,77503286.0
2025-07-25 06:30:00+00:00,25.165,25.62,24.83,25.6,68037930.0
2025-07-28 06:30:00+00:00,26.38,26.99,26.3352,26.88,88108434.0
2025-07-29 06:30:00+00:00,27.41,28.16,26.5,27.03,101714456.0
2025-07-30 06:30:00+00:00,27.75,28.13,26.93,27.61,96772150.0
2025-07-31 06:30:00+00:00,26.7,26.74,24.2,24.98,133413756.0
2025-08-01 06:30:00+00:00,23.58,24.83,22.565,24.08,132665236.0
2025-08-04 06:30:00+00:00,24.59,25.1799,24.24,25.0,85963838.0
2025-08-05 06:30:00+00:00,25.42,25.68,23.61,24.52,99733426.0
2025-08-06 06:30:00+00:00,23.84,24.12,22.95,23.99,103447465.0
2025-08-07 06:30:00+00:00,25.48,25.88,24.53,25.0,117228393.0
2025-08-08 06:30:00+00:00,25.16,25.83,24.9,25.71,71389885.0
2025-08-11 06:30:00+00:00,26.03,26.885,25.45,25.61,75943484.0
2025-08-12 06:30:00+00:00,26.21,28.08,25.68,28.0,125910469.0
2025-08-13 06:30:00+00:00,28.65,29.33,28.31,29.27,89497115.0
2025-08-14 06:30:00+00:00,28.12,29.66,27.95,29.42,84286844.0
2025-08-15 06:30:00+00:00,28.71,28.71,27.07,27.37,93664662.0
2025-08-18 06:30:00+00:00,27.1,27.65,27.03,27.53,50310362.0
2025-08-19 06:30:00+00:00,27.57,27.86,26.1,26.24,75595120.0
2025-08-20 06:30:00+00:00,26.11,26.11,23.66,25.8,117636493.0
2025-08-21 06:30:00+00:00,25.4,25.9,24.905,25.35,67871086.0
2025-08-22 06:30:00+00:00,25.56,28.32,25.335,27.45,117140893.0
2025-08-25 06:30:00+00:00,27.35,27.58,26.81,27.3,55018743.0
2025-08-26 06:30:00+00:00,27.53,28.22,27.52,27.94,57544326.0
2025-08-27 06:30:00+00:00,27.61,28.23,27.28,28.18,61375213.0
2025-08-28 06:30:00+00:00,28.41,29.11,27.96,28.53,74466372.0
2025-08-29 06:30:00+00:00,27.315,27.35,25.67,26.04,108411318.0
2025-09-02 06:30:00+00:00,24.08,25.275,23.8,25.25,101906668.0
2025-09-03 06:30:00+00:00,25.41,25.41,24.12,24.91,79482164.0
2025-09-04 06:30:00+00:00,24.41,25.73,23.98,25.65,81641173.0
2025-09-05 06:30:00+00:00,26.82,26.9656,25.6,26.45,110749436.0
2025-09-08 06:30:00+00:00,26.96,27.43,26.68,27.08,72341742.0
2025-09-09 06:30:00+00:00,27.165,27.37,26.5699,27.18,55882318.0
